city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Miki,34.7969,134.9902,Japan,JP,Hyōgo,,74255,74255
Izumiōtsu,34.5043,135.4104,Japan,JP,Ōsaka,,74175,74175
Okegawa,36.0028,139.5585,Japan,JP,Saitama,,74115,74115
Tatebayashi,36.2448,139.5421,Japan,JP,Gunma,,73991,73991
Kyōtanabe,34.8144,135.7677,Japan,JP,Kyōto,,73985,73985
Tatsunochō-tominaga,34.8579,134.5454,Japan,JP,Hyōgo,,73952,73952
Yurihonjō,39.3859,140.0488,Japan,JP,Akita,,73840,73840
Kasama,36.3452,140.3043,Japan,JP,Ibaraki,,73521,73521
Inuyama,35.3844,136.9391,Japan,JP,Gifu,,73420,73420
Ōtawara,36.8711,140.0155,Japan,JP,Tochigi,,73189,73189
Shibukawa,36.4895,139.0004,Japan,JP,Gunma,,73064,73064
Hekinan,34.8847,136.9934,Japan,JP,Aichi,,72480,72480
Dazaifu,33.5129,130.5238,Japan,JP,Fukuoka,,72430,72430
Yukuhashi,33.7287,130.9830,Japan,JP,Fukuoka,,72376,72376
Yoshikawa,35.8958,139.8556,Japan,JP,Saitama,,72139,72139
Chiryū,35.0013,137.0508,Japan,JP,Aichi,,71907,71907
Ishioka,36.1908,140.2872,Japan,JP,Ibaraki,,71851,71851
Musashimurayama,35.7548,139.3874,Japan,JP,Tōkyō,,71183,71183
Yawata-shimizui,34.8756,135.7076,Japan,JP,Kyōto,,70373,70373
Eniwa,42.8826,141.5778,Japan,JP,Hokkaidō,,70102,70102
Tsurugashima,35.9358,139.3944,Japan,JP,Saitama,,70067,70067
Kiyosu,35.2168,136.8369,Japan,JP,Aichi,,69687,69687
Minami-Alps,35.6083,138.4650,Japan,JP,Yamanashi,,69642,69642
Uwajima,33.2233,132.5606,Japan,JP,Ehime,,69639,69639
Rittō,35.0216,135.9980,Japan,JP,Shiga,,69598,69598
Sōja,34.6761,133.7463,Japan,JP,Okayama,,69428,69428
Toyoake,35.0536,137.0128,Japan,JP,Aichi,,69389,69389
Anan,33.9218,134.6595,Japan,JP,Tokushima,,69259,69259
Moriya,35.9514,139.9754,Japan,JP,Ibaraki,,68992,68992
Tanabe,33.7280,135.3777,Japan,JP,Wakayama,,68986,68986
Sabae,35.9565,136.1843,Japan,JP,Fukui,,68666,68666
Ōdate,40.2714,140.5644,Japan,JP,Akita,,67865,67865
Kashiwara,34.5793,135.6286,Japan,JP,Ōsaka,,67757,67757
Fuefuki,35.6473,138.6397,Japan,JP,Yamanashi,,67396,67396
Shiojiri,36.1000,137.9667,Japan,JP,Nagano,,67240,67240
Chiyoda-ku,35.6939,139.7536,Japan,JP,Tōkyō,,67036,67036
Kashima,35.9656,140.6448,Japan,JP,Ibaraki,,67001,67001
Saiki,32.8861,131.7761,Japan,JP,Ōita,,66497,66497
Yachimata,35.6659,140.3179,Japan,JP,Chiba,,66430,66430
Hashima,35.3199,136.7033,Japan,JP,Gifu,,66312,66312
Tsuruga,35.6478,136.0644,Japan,JP,Fukui,,66123,66123
Fukutsu,33.7668,130.4911,Japan,JP,Fukuoka,,65770,65770
Ina,35.8275,137.9540,Japan,JP,Nagano,,65670,65670
Kitamoto,36.0269,139.5302,Japan,JP,Saitama,,65191,65191
Tomigusuku,26.1772,127.6813,Japan,JP,Okinawa,,64850,64850
Fujioka,36.2585,139.0746,Japan,JP,Gunma,,64539,64539
Yanagawa,33.1631,130.4058,Japan,JP,Fukuoka,,64120,64120
Sodegaura,35.4300,139.9544,Japan,JP,Chiba,,63975,63975
Tenri,34.5967,135.8372,Japan,JP,Nara,,63760,63760
Kurihara,38.7301,141.0215,Japan,JP,Miyagi,,63689,63689
Asahi,35.7344,140.6556,Japan,JP,Chiba,,63507,63507
Fujiidera,34.5742,135.5975,Japan,JP,Ōsaka,,63338,63338
Nago,26.5916,127.9776,Japan,JP,Okinawa,,63060,63060
Kaga,36.3028,136.3150,Japan,JP,Ishikawa,,62997,62997
Miyoshi,35.0894,137.0748,Japan,JP,Aichi,,62963,62963
Tamana,32.9461,130.5763,Japan,JP,Kumamoto,,62784,62784
Nagakute,35.1841,137.0487,Japan,JP,Aichi,,62473,62473
Tendō,38.3621,140.3784,Japan,JP,Yamagata,,61981,61981
Tagajō,38.2938,141.0043,Japan,JP,Miyagi,,61937,61937
Mitoyo,34.1826,133.7151,Japan,JP,Kagawa,,61838,61838
Hita,33.3213,130.9411,Japan,JP,Ōita,,61755,61755
Shiroi,35.7915,140.0563,Japan,JP,Chiba,,61673,61673
Hasuda,35.9945,139.6624,Japan,JP,Saitama,,61473,61473
Hashimoto,34.3149,135.6052,Japan,JP,Wakayama,,61063,61063
Aisai,35.1528,136.7282,Japan,JP,Aichi,,60914,60914
Tsushima,35.1771,136.7413,Japan,JP,Aichi,,60908,60908
Itoman,26.1235,127.6658,Japan,JP,Okinawa,,60903,60903
Tamba,35.1771,135.0359,Japan,JP,Hyōgo,,60824,60824
Yamatotakada,34.5151,135.7365,Japan,JP,Nara,,60791,60791
Kokawa,34.2700,135.4080,Japan,JP,Wakayama,,60592,60592
Yame,33.2120,130.5579,Japan,JP,Fukuoka,,60196,60196
Towada,40.6127,141.2059,Japan,JP,Aomori,,60063,60063
Sanyō-Onoda,34.0032,131.1818,Japan,JP,Yamaguchi,,59648,59648
Sennan,34.3659,135.2734,Japan,JP,Ōsaka,,59634,59634
Date,37.8201,140.5083,Japan,JP,Fukushima,,59625,59625
Shimotsuke,36.3949,139.8518,Japan,JP,Tochigi,,59404,59404
Shirakawa,37.1264,140.2109,Japan,JP,Fukushima,,59393,59393
Koga,33.7287,130.4700,Japan,JP,Fukuoka,,59349,59349
Kesennuma,38.9081,141.5699,Japan,JP,Miyagi,,59341,59341
Hyūga,32.4229,131.6239,Japan,JP,Miyazaki,,59276,59276
Chichibu,35.9597,138.9333,Japan,JP,Saitama,,59101,59101
Tahara,34.6688,137.2642,Japan,JP,Aichi,,59015,59015
Chikuma,36.5307,138.1149,Japan,JP,Nagano,,58755,58755
Sayama,34.5169,135.5630,Japan,JP,Ōsaka,,58593,58593
Ogōri,33.3964,130.5556,Japan,JP,Fukuoka,,58322,58322
Murakami,38.2240,139.4800,Japan,JP,Niigata,,58300,58300
Ishikari,43.1714,141.3155,Japan,JP,Hokkaidō,,58284,58284
Kitahiroshima,42.9855,141.5631,Japan,JP,Hokkaidō,,58125,58125
Kan’onjichō,34.1268,133.6535,Japan,JP,Kagawa,,57921,57921
Kosai,34.7184,137.5316,Japan,JP,Shizuoka,,57682,57682
Tōgane,35.5599,140.3661,Japan,JP,Chiba,,57560,57560
Tokoname,34.8892,136.8531,Japan,JP,Aichi,,57507,57507
Uki,32.6478,130.6843,Japan,JP,Kumamoto,,57096,57096
Nonoichi,36.5194,136.6098,Japan,JP,Ishikawa,,57090,57090
Minokamo,35.4402,137.0157,Japan,JP,Gifu,,57007,57007
Zushi,35.2956,139.5803,Japan,JP,Kanagawa,,56996,56996
Fussa,35.7386,139.3268,Japan,JP,Tōkyō,,56786,56786
Kudamatsu,34.0150,131.8703,Japan,JP,Yamaguchi,,56661,56661
Tama,34.4919,133.9460,Japan,JP,Okayama,,56431,56431
Mukōchō,34.9487,135.6983,Japan,JP,Kyōto,,56152,56152
Mizuho,35.3918,136.6909,Japan,JP,Gifu,,56106,56106
Takizawa,39.7347,141.0771,Japan,JP,Iwate,,56050,56050
Takaishi,34.5207,135.4424,Japan,JP,Ōsaka,,55910,55910
Nōgata,33.7441,130.7297,Japan,JP,Fukuoka,,55705,55705
Toki,35.3525,137.1832,Japan,JP,Gifu,,55388,55388
Shijōnawate,34.7399,135.6395,Japan,JP,Ōsaka,,55094,55094
Chino,35.9955,138.1588,Japan,JP,Nagano,,55018,55018
Narutochō-mitsuishi,34.2039,134.5961,Japan,JP,Tokushima,,54989,54989
Minamiuonuma,37.0655,138.8761,Japan,JP,Niigata,,54820,54820
Hidaka,35.9078,139.3391,Japan,JP,Saitama,,54728,54728
Annaka,36.3408,138.7764,Japan,JP,Gunma,,54607,54607
Choshi,35.7346,140.8268,Japan,JP,Chiba,,54570,54570
Nihonmatsu,37.5849,140.4312,Japan,JP,Fukushima,,54447,54447
Konan,35.0041,136.0847,Japan,JP,Shiga,,54392,54392
Sakurai,34.5187,135.8432,Japan,JP,Nara,,54346,54346
Sado,38.0444,138.3897,Japan,JP,Niigata,,54304,54304
Hamura,35.7672,139.3109,Japan,JP,Saitama,,53970,53970
Funato,34.2563,135.3113,Japan,JP,Wakayama,,53714,53714
Mutsu,41.2928,141.1836,Japan,JP,Aomori,,53393,53393
Tōkamachi,37.1421,138.7571,Japan,JP,Niigata,,53333,53333
Naka,36.4574,140.4868,Japan,JP,Ibaraki,,53035,53035
Usa,33.5320,131.3495,Japan,JP,Ōita,,52767,52767
Hanyū,36.1725,139.5485,Japan,JP,Saitama,,52740,52740
Minami-Sōma,37.6422,140.9573,Japan,JP,Fukushima,,52619,52619
Miyakojima,24.7901,125.2949,Japan,JP,Okinawa,,52390,52390
Shiraoka,36.0191,139.6769,Japan,JP,Saitama,,52103,52103
Shiogama,38.3144,141.0220,Japan,JP,Miyagi,,51999,51999
Imarichō-kō,33.2647,129.8807,Japan,JP,Saga,,51875,51875
Tomiya,38.4000,140.8953,Japan,JP,Miyagi,,51859,51859
Bandō,36.0484,139.8887,Japan,JP,Ibaraki,,51511,51511
Izumi,32.0905,130.3526,Japan,JP,Kagoshima,,51450,51450
Tsukubamirai,35.9631,140.0370,Japan,JP,Ibaraki,,51134,51134
Fuchū,34.3926,132.5045,Japan,JP,Hiroshima,,51096,51096
Kyōtango,35.6241,135.0609,Japan,JP,Kyōto,,50857,50857
Miyako,39.6397,141.9461,Japan,JP,Iwate,,50855,50855
Goshogawara,40.8077,140.4461,Japan,JP,Aomori,,50757,50757
Sakaidechō,34.3164,133.8605,Japan,JP,Kagawa,,50577,50577
Arao,32.9867,130.4332,Japan,JP,Kumamoto,,50570,50570
Nichinan,31.6019,131.3787,Japan,JP,Miyazaki,,50518,50518
Susono,35.1739,138.9068,Japan,JP,Shizuoka,,50510,50510
Yūki,36.2897,139.8715,Japan,JP,Ibaraki,,50218,50218
Nakagawa,33.4996,130.4222,Japan,JP,Fukuoka,,50201,50201
Hamada,34.8993,132.0799,Japan,JP,Shimane,,50176,50176
Yasu,35.0675,136.0258,Japan,JP,Shiga,,50049,50049
Miyoshi,34.8057,132.8518,Japan,JP,Hiroshima,,50046,50046
Satte,36.0781,139.7259,Japan,JP,Saitama,,49961,49961
Hannan,34.3596,135.2397,Japan,JP,Ōsaka,,49794,49794
Nanao,37.0431,136.9673,Japan,JP,Ishikawa,,49660,49660
Noshiromachi,40.2118,140.0271,Japan,JP,Akita,,49625,49625
Tomisato,35.7268,140.3429,Japan,JP,Chiba,,49470,49470
Kameyama,34.8558,136.4516,Japan,JP,Mie,,49457,49457
Suzaka,36.6511,138.3073,Japan,JP,Nagano,,49393,49393
Asakura,33.4234,130.6655,Japan,JP,Fukuoka,,49254,49254
Midori,36.3948,139.2811,Japan,JP,Gunma,,49190,49190
Hikari,33.9619,131.9423,Japan,JP,Yamaguchi,,49100,49100
Suwa,36.0392,138.1140,Japan,JP,Nagano,,48972,48972
Nomimachi,36.4470,136.5541,Japan,JP,Ishikawa,,48860,48860
Shimotsuchō-kominami,34.1257,135.1722,Japan,JP,Wakayama,,48811,48811
Chikugo,33.2122,130.5021,Japan,JP,Fukuoka,,48794,48794
Takahama,34.9276,136.9877,Japan,JP,Aichi,,48685,48685
Omitama,36.2393,140.3526,Japan,JP,Ibaraki,,48555,48555
Suzukawa,35.3730,139.3839,Japan,JP,Kanagawa,,48532,48532
Ishigaki,24.3445,124.1852,Japan,JP,Okinawa,,48258,48258
Sanmu,35.6029,140.4135,Japan,JP,Chiba,,48196,48196
Yamaga,33.0167,130.6913,Japan,JP,Kumamoto,,48181,48181
Ena,35.4492,137.4128,Japan,JP,Gifu,,47999,47999
Kasuya,33.6108,130.4806,Japan,JP,Fukuoka,,47981,47981
Iwakura,35.2794,136.8714,Japan,JP,Aichi,,47975,47975
Higashine,38.4313,140.3911,Japan,JP,Yamagata,,47747,47747
Ōamishirasato,35.5217,140.3210,Japan,JP,Chiba,,47722,47722
Tonami,36.6475,136.9621,Japan,JP,Toyama,,47638,47638
Ono,34.8487,134.9342,Japan,JP,Hyōgo,,47609,47609
Hitachi-ota,36.5383,140.5309,Japan,JP,Ibaraki,,47586,47586
Okaya,36.0671,138.0493,Japan,JP,Nagano,,47499,47499
Nanto,36.5574,136.8755,Japan,JP,Toyama,,47390,47390
Gosen,37.7444,139.1826,Japan,JP,Niigata,,47262,47262
Kikugawa,34.7578,138.0848,Japan,JP,Shizuoka,,47194,47194
Takeochō-takeo,33.1938,130.0191,Japan,JP,Saga,,47136,47136
Tomioka,36.2599,138.8899,Japan,JP,Gunma,,46928,46928
Noboribetsu,42.4656,141.0758,Japan,JP,Hokkaidō,,46838,46838
Sanuki,34.3253,134.1721,Japan,JP,Kagawa,,46723,46723
Hioki,31.6337,130.4024,Japan,JP,Kagoshima,,46671,46671
Fujiyoshida,35.4875,138.8077,Japan,JP,Yamanashi,,46659,46659
Nakai,33.5757,133.6415,Japan,JP,Kōchi,,46567,46567
Kurayoshi,35.4301,133.8255,Japan,JP,Tottori,,46269,46269
Takashima,35.3530,136.0357,Japan,JP,Shiga,,46246,46246
Izunokuni,35.0277,138.9289,Japan,JP,Shizuoka,,46212,46212
Kasaoka,34.5071,133.5074,Japan,JP,Okayama,,46080,46080
Kikuchi,32.9794,130.8133,Japan,JP,Kumamoto,,45971,45971
Tamagawa,33.6389,130.8061,Japan,JP,Fukuoka,,45946,45946
Hokota,36.1587,140.5164,Japan,JP,Ibaraki,,45910,45910
Shima,34.3282,136.8297,Japan,JP,Mie,,45834,45834
Kariya,34.7550,134.3904,Japan,JP,Hyōgo,,45747,45747
Hokuto,41.8241,140.6530,Japan,JP,Hokkaidō,,45661,45661
Kitakata,37.6511,139.8748,Japan,JP,Fukushima,,45590,45590
Numata,36.6439,139.0428,Japan,JP,Gunma,,45132,45132
Inuma,36.0001,139.6242,Japan,JP,Saitama,,45065,45065
Sakura,36.6853,139.9664,Japan,JP,Tochigi,,44777,44777
Masuda,34.6748,131.8428,Japan,JP,Shimane,,44474,44474
Iwanuma,38.1043,140.8702,Japan,JP,Miyagi,,44340,44340
Nanjō,26.1633,127.7706,Japan,JP,Okinawa,,44318,44318
Ogimachi,33.2940,130.1990,Japan,JP,Saga,,44120,44120
Hagi,34.4081,131.3992,Japan,JP,Yamaguchi,,44118,44118
Goshikichō-aihara-minamidani,34.2944,134.7798,Japan,JP,Hyōgo,,43914,43914
Himi,36.8559,136.9730,Japan,JP,Toyama,,43747,43747
Shinshiro,34.8989,137.4977,Japan,JP,Aichi,,43620,43620
Kumatori,34.4014,135.3558,Japan,JP,Ōsaka,,43570,43570
Hokuto,35.7765,138.4236,Japan,JP,Yamanashi,,43452,43452
Inabe,35.1157,136.5614,Japan,JP,Mie,,43114,43114
Kobayashi,31.9967,130.9726,Japan,JP,Miyazaki,,43114,43114
Makinohara,34.7400,138.2246,Japan,JP,Shizuoka,,43061,43061
Yatomi,35.1100,136.7247,Japan,JP,Aichi,,43038,43038
Shimabara,32.7881,130.3702,Japan,JP,Nagasaki,,42858,42858
Nakano,36.7420,138.3695,Japan,JP,Nagano,,42664,42664
Awaji,34.4397,134.9149,Japan,JP,Hyōgo,,42597,42597
Akaiwa,34.7554,134.0188,Japan,JP,Okayama,,42341,42341
Kasai,34.9278,134.8419,Japan,JP,Hyōgo,,42290,42290
Futtsu,35.3041,139.8570,Japan,JP,Chiba,,42280,42280
Maniwa,35.0756,133.7527,Japan,JP,Okayama,,42259,42259
Uozu,36.8194,137.3977,Japan,JP,Toyama,,42224,42224
Minamishimabara,32.6598,130.2978,Japan,JP,Nagasaki,,41903,41903
Miura,35.1442,139.6207,Japan,JP,Kanagawa,,41807,41807
Ōizumi,36.2478,139.4049,Japan,JP,Gunma,,41681,41681
Yuzawa,39.1644,140.4958,Japan,JP,Akita,,41601,41601
Shimotsuma,36.1844,139.9684,Japan,JP,Ibaraki,,41499,41499
Kitaibaraki,36.8019,140.7510,Japan,JP,Ibaraki,,41352,41352
Komoro,36.3392,138.4350,Japan,JP,Nagano,,41066,41066
Sumoto,34.3425,134.8956,Japan,JP,Hyōgo,,41056,41056
Amami,28.3456,129.5022,Japan,JP,Okinawa,,41049,41049
Unzen,32.8352,130.1875,Japan,JP,Nagasaki,,41018,41018
Nanbei,35.3702,139.2260,Japan,JP,Kanagawa,,40947,40947
Katō,34.9186,134.9734,Japan,JP,Hyōgo,,40728,40728
Tamba-Sasayama,35.0757,135.2192,Japan,JP,Hyōgo,,40708,40708
Agano,37.8344,139.2260,Japan,JP,Niigata,,40382,40382
Itoigawa,37.0390,137.8627,Japan,JP,Niigata,,40200,40200
Kasumigaura,36.1517,140.2371,Japan,JP,Ibaraki,,39993,39993
Sagae,38.3809,140.2760,Japan,JP,Yamagata,,39854,39854
Kurobeshin,36.8714,137.4478,Japan,JP,Toyama,,39718,39718
Nakama,33.8208,130.7086,Japan,JP,Fukuoka,,39634,39634
Takikawa,43.5578,141.9104,Japan,JP,Hokkaidō,,39266,39266
Mitsuke,37.5316,138.9127,Japan,JP,Niigata,,39024,39024
Higashimatsushima,38.4264,141.2111,Japan,JP,Miyagi,,38880,38880
Inashiki,35.9565,140.3239,Japan,JP,Ibaraki,,38853,38853
Hitachiomiya,36.5425,140.4109,Japan,JP,Ibaraki,,38836,38836
Gujō,35.7486,136.9643,Japan,JP,Gifu,,38747,38747
Yoshinogawa,34.0663,134.3586,Japan,JP,Tokushima,,38726,38726
Sakuragawa,36.3273,140.0906,Japan,JP,Ibaraki,,38677,38677
Ibusuki,31.2528,130.6331,Japan,JP,Kagoshima,,38571,38571
Nishiwaki,34.9829,134.9795,Japan,JP,Hyōgo,,38479,38479
Miyoshidai,35.8284,139.5265,Japan,JP,Saitama,,38361,38361
Misawa,40.6831,141.3691,Japan,JP,Aomori,,38351,38351
Maibara,35.3154,136.2840,Japan,JP,Shiga,,38259,38259
Ibara,34.5977,133.4638,Japan,JP,Okayama,,38236,38236
Mizunami,35.3678,137.2537,Japan,JP,Gifu,,37705,37705
Katsuragi,34.4892,135.7264,Japan,JP,Nara,,37225,37225
Kanie,35.1322,136.7868,Japan,JP,Aichi,,36782,36782
Yasugichō,35.4314,133.2509,Japan,JP,Shimane,,36713,36713
Fuchūchō,34.5734,133.2314,Japan,JP,Hiroshima,,36326,36326
Komatsushimachō,34.0049,134.5906,Japan,JP,Tokushima,,36123,36123
Uto,32.6880,130.6598,Japan,JP,Kumamoto,,35947,35947
Usuki,33.1261,131.8053,Japan,JP,Ōita,,35681,35681
Sōsa,35.7223,140.5490,Japan,JP,Chiba,,35674,35674
Miyajima,33.1524,130.4748,Japan,JP,Kumamoto,,35665,35665
Awa,34.0824,134.2358,Japan,JP,Tokushima,,35631,35631
Setouchi,34.6649,134.0928,Japan,JP,Okayama,,35624,35624
Isumi,35.2539,140.3852,Japan,JP,Chiba,,35570,35570
Unnan,35.3077,132.9003,Japan,JP,Shimane,,35366,35366
Aizumi,34.1266,134.4951,Japan,JP,Tokushima,,35269,35269
Kamata,33.5984,130.7194,Japan,JP,Fukuoka,,35208,35208
Kaizu,35.2205,136.6366,Japan,JP,Gifu,,34960,34960
Kahoku,36.7198,136.7067,Japan,JP,Ishikawa,,34936,34936
Iyo,33.7574,132.7037,Japan,JP,Ehime,,34927,34927
Tamura,37.4406,140.5762,Japan,JP,Fukushima,,34921,34921
Seiyo,33.3626,132.5109,Japan,JP,Ehime,,34898,34898
Sōma,37.7967,140.9196,Japan,JP,Fukushima,,34645,34645
Abashiri,44.0206,144.2736,Japan,JP,Hokkaidō,,34640,34640
Ofunato,39.0819,141.7089,Japan,JP,Iwate,,34558,34558
Nishihara,26.2536,127.7436,Japan,JP,Okinawa,,34463,34463
Motosu,35.4831,136.6788,Japan,JP,Gifu,,34453,34453
Gotō,32.6956,128.8408,Japan,JP,Nagasaki,,34425,34425
Kuji,40.1905,141.7756,Japan,JP,Iwate,,34418,34418
Shinjō,38.7650,140.3016,Japan,JP,Yamagata,,34284,34284
Fusō,35.3591,136.9132,Japan,JP,Aichi,,34268,34268
Atami,35.0960,139.0716,Japan,JP,Shizuoka,,34233,34233
Tōon,33.7910,132.8722,Japan,JP,Ehime,,34195,34195
Shisō,35.0044,134.5494,Japan,JP,Hyōgo,,34116,34116
Uonuma,37.2364,138.9638,Japan,JP,Niigata,,34112,34112
Minamishiro,36.0227,139.7227,Japan,JP,Saitama,,34012,34012
Harima,34.7152,134.8681,Japan,JP,Hyōgo,,33822,33822
Ojiya,37.3144,138.7951,Japan,JP,Niigata,,33729,33729
Date,42.4719,140.8647,Japan,JP,Hokkaidō,,33404,33404
Asakuchi,34.5279,133.5849,Japan,JP,Okayama,,33382,33382
Shiroishi,38.0025,140.6199,Japan,JP,Miyagi,,33330,33330
Minamikyūshū,31.3783,130.4417,Japan,JP,Kagoshima,,33115,33115
Bungoōno,32.9775,131.5842,Japan,JP,Ōita,,33066,33066
Kamaishi,39.2758,141.8857,Japan,JP,Iwate,,33061,33061
Wakabadai,45.3325,141.8283,Japan,JP,Hokkaidō,,33036,33036
Yamanashi,35.6934,138.6869,Japan,JP,Yamanashi,,32925,32925
Yufu,33.1801,131.4268,Japan,JP,Ōita,,32698,32698
Ōharu,35.1751,136.8201,Japan,JP,Aichi,,32590,32590
Shimanto,32.9913,132.9337,Japan,JP,Kōchi,,32551,32551
Minamisatsuma,31.4166,130.3234,Japan,JP,Kagoshima,,32503,32503
Omaezaki,34.6135,138.2114,Japan,JP,Shizuoka,,32422,32422
Shōbara,34.8578,133.0173,Japan,JP,Hiroshima,,32343,32343
Namerikawa,36.7644,137.3412,Japan,JP,Toyama,,32317,32317
Nagato,34.3705,131.1826,Japan,JP,Yamaguchi,,32183,32183
Kōnan,33.5642,133.7005,Japan,JP,Kōchi,,32123,32123
Odamachi,35.1921,132.4994,Japan,JP,Shimane,,32102,32102
Bizen,34.7451,134.1881,Japan,JP,Okayama,,32019,32019
Sakaiminato,35.5432,133.2320,Japan,JP,Shimane,,32012,32012
Namegata,35.9905,140.4890,Japan,JP,Ibaraki,,31828,31828
Komagane,35.7278,137.9478,Japan,JP,Nagano,,31763,31763
Maebara,35.1140,140.0988,Japan,JP,Chiba,,31722,31722
Zentsujichó,34.2285,133.7871,Japan,JP,Kagawa,,31620,31620
Kuroishi,40.6426,140.5946,Japan,JP,Aomori,,31604,31604
Katagami,39.8573,140.0130,Japan,JP,Akita,,31558,31558
Ayabe,35.2989,135.2588,Japan,JP,Kyōto,,31537,31537
Yawatahama-shi,33.4629,132.4233,Japan,JP,Ehime,minor,31385,31385
Hitoyoshi,32.2100,130.7625,Japan,JP,Kumamoto,,31332,31332
Shimotoba,34.8838,135.6630,Japan,JP,Kyōto,,31292,31292
Yaita,36.8067,139.9241,Japan,JP,Tochigi,,31145,31145
Nantan,35.1074,135.4703,Japan,JP,Kyōto,,31075,31075
Tsuruno,40.8700,140.3497,Japan,JP,Aomori,,30760,30760
Yunoshima,35.8059,137.2441,Japan,JP,Gifu,,30641,30641
Yanai,33.9639,132.1016,Japan,JP,Yamaguchi,,30461,30461
Ono,35.9797,136.4875,Japan,JP,Fukui,,30449,30449
Motomiya,37.5132,140.3939,Japan,JP,Fukushima,,30401,30401
Kanzakimachi-kanzaki,33.3107,130.3731,Japan,JP,Saga,,30329,30329
Hirakawachō,40.5841,140.5665,Japan,JP,Aomori,,30326,30326
Nanyō,38.0551,140.1484,Japan,JP,Yamagata,,30235,30235
Tsuru,35.5515,138.9054,Japan,JP,Yamanashi,,30193,30193
Kaminoyama,38.1496,140.2678,Japan,JP,Yamagata,,29974,29974
Kaita,34.3722,132.5360,Japan,JP,Hiroshima,,29793,29793
Kitaakita,40.2260,140.3707,Japan,JP,Akita,,29696,29696
Shibushi,31.4772,131.0999,Japan,JP,Kagoshima,,29267,29267
Tōmi,36.3594,138.3304,Japan,JP,Nagano,,29213,29213
Hanawa,40.2158,140.7885,Japan,JP,Akita,,28929,28929
Takahashi,34.7910,133.6168,Japan,JP,Okayama,,28825,28825
Hirado,33.3681,129.5537,Japan,JP,Nagasaki,minor,28822,28822
Asago,35.3398,134.8531,Japan,JP,Hyōgo,,28802,28802
Oyabe,36.6755,136.8687,Japan,JP,Toyama,,28634,28634
Saito,32.1085,131.4014,Japan,JP,Miyazaki,,28618,28618
Izu,34.9765,138.9468,Japan,JP,Shizuoka,,28493,28493
Tsushima,34.2028,129.2875,Japan,JP,Nagasaki,,28456,28456
Aioi,34.8036,134.4681,Japan,JP,Hyōgo,,28350,28350
Higashikagawa,34.2438,134.3589,Japan,JP,Kagawa,,28305,28305
Chatan,26.3200,127.7639,Japan,JP,Okinawa,,28167,28167
Nirasaki,35.7088,138.4462,Japan,JP,Yamanashi,,28150,28150
Obama,35.4956,135.7466,Japan,JP,Fukui,,28142,28142
Mima,34.0533,134.1698,Japan,JP,Tokushima,,28087,28087
Tainai,38.0597,139.4103,Japan,JP,Niigata,,28004,28004
Kakuda,37.9770,140.7821,Japan,JP,Miyagi,,27848,27848
Mizumaki,33.8548,130.6950,Japan,JP,Fukuoka,,27822,27822
Ōuda-yamaguchi,34.5280,135.9522,Japan,JP,Nara,,27747,27747
Kashima,33.1038,130.0986,Japan,JP,Saga,,27710,27710
Kitsuki,33.4170,131.6161,Japan,JP,Ōita,,27668,27668
Ninomiya,35.2995,139.2555,Japan,JP,Kanagawa,,27536,27536
Niimi,34.9770,133.4703,Japan,JP,Okayama,,27526,27526
Takahagi,36.7187,140.7168,Japan,JP,Ibaraki,,27522,27522
Shingū,33.7242,135.9925,Japan,JP,Mie,,27491,27491
Ukiha,33.3474,130.7550,Japan,JP,Fukuoka,,27474,27474
Itako,35.9471,140.5554,Japan,JP,Ibaraki,,27373,27373
Akitakata,34.6662,132.7043,Japan,JP,Hiroshima,,27249,27249
Nemuro,43.3300,145.5829,Japan,JP,Hokkaidō,,27109,27109
Ichikikushikino,31.7146,130.2719,Japan,JP,Kagoshima,,27080,27080
Nayoro,44.3559,142.4632,Japan,JP,Hokkaidō,,27062,27062
Gojō,34.3521,135.6935,Japan,JP,Nara,,26998,26998
Miyanaga,33.7237,130.6674,Japan,JP,Fukuoka,,26690,26690
Tōno,39.3277,141.5335,Japan,JP,Iwate,,26110,26110
Awara,36.2239,136.2039,Japan,JP,Fukui,,26024,26024
Kamo,37.6663,139.0402,Japan,JP,Niigata,,25971,25971
Ōtake,34.2144,132.2192,Japan,JP,Hiroshima,,25955,25955
Ōmachi,36.5030,137.8511,Japan,JP,Nagano,,25883,25883
Nagai,38.1075,140.0405,Japan,JP,Yamagata,,25836,25836
Kunisakimachi-tsurugawa,33.5633,131.7322,Japan,JP,Ōita,,25790,25790
Ginan,35.3896,136.7825,Japan,JP,Gifu,,25752,25752
Arida,34.0830,135.1277,Japan,JP,Wakayama,,25737,25737
Tosa,33.4961,133.4254,Japan,JP,Kōchi,,25665,25665
Kami,33.5705,133.7416,Japan,JP,Kōchi,,25562,25562
Mimasaka,35.0086,134.1486,Japan,JP,Okayama,,25497,25497
Yamagata,35.5061,136.7814,Japan,JP,Gifu,,25325,25325
Saikaichō-kobagō,33.0651,129.6891,Japan,JP,Nagasaki,,25184,25184
Ninohe,40.2713,141.3048,Japan,JP,Iwate,,25083,25083
